Country Code,city_name,organization_type,Stat Date(周),5 + order store count(week total)
MX,Cordoba,SME,2024-11-18 / 2024-11-24,33.0
CO,Bucaramanga,CKA,2024-11-18 / 2024-11-24,14.0
CO,Barranquilla,CKA,2024-11-18 / 2024-11-24,55.0
CO,"Bogotá, D.C.",CKA,2024-11-18 / 2024-11-24,470.0
CO,Cartagena,CKA,2024-11-18 / 2024-11-24,3.0
CO,Cali,CKA,2024-11-18 / 2024-11-24,101.0
CO,Medellín,CKA,2024-11-18 / 2024-11-24,304.0
CO,Bucaramanga,SME,2024-11-18 / 2024-11-24,32.0
CO,Cartagena,SME,2024-11-18 / 2024-11-24,12.0
CO,"Bogotá, D.C.",SME,2024-11-18 / 2024-11-24,411.0
CO,Cúcuta,SME,2024-11-18 / 2024-11-24,7.0
CO,Medellín,SME,2024-11-18 / 2024-11-24,370.0
CO,Cali,SME,2024-11-18 / 2024-11-24,188.0
CO,Barranquilla,SME,2024-11-18 / 2024-11-24,113.0
CR,San Jose,CKA,2024-11-18 / 2024-11-24,95.0
CR,San Jose,SME,2024-11-18 / 2024-11-24,117.0
PE,Lima,CKA,2024-11-18 / 2024-11-24,74.0
