organization_type,country_code,city_name,stat_date(周),Daily Orders,R Burn / GMV,B2C / GMV,TED / GMV,Traffic,Shop Enter UV,B P1*P2,B Cancel Rate,AOP,ASP
Normal,MX,Los Mochis-Guasave,2024-11-25 / 2024-12-01,908,11.90%,0.023200000000000000,0.174700000000000000,608006,41930,1.11%,1.95%,239.1381000000000,197.3653000000000
Normal,MX,Durango,2024-11-25 / 2024-12-01,2819,14.03%,0.026400000000000000,0.188800000000000000,1700531,114853,1.22%,1.63%,230.5772000000000,187.0538000000000
Normal,MX,Tapachula,2024-11-25 / 2024-12-01,250,17.81%,0.024400000000000000,0.241600000000000000,183334,12342,1.02%,2.12%,272.9573000000000,207.0164000000000
Normal,MX,Tuxtla Gutierrez,2024-11-25 / 2024-12-01,2427,17.97%,0.030500000000000000,0.255500000000000000,1703954,113311,1.03%,0.76%,242.3428000000000,180.4155000000000
Normal,MX,Piedras Negras,2024-11-25 / 2024-12-01,-,-,-,-,-,-,-,-,-,-
Normal,MX,Campeche,2024-11-25 / 2024-12-01,516,14.65%,0.033200000000000000,0.217800000000000000,322430,23382,1.17%,1.78%,223.3547000000000,174.7188000000000
Normal,MX,Celaya,2024-11-25 / 2024-12-01,782,12.25%,0.016100000000000000,0.171300000000000000,469299,30815,1.24%,1.97%,242.5752000000000,201.0225000000000
Normal,MX,Orizaba,2024-11-25 / 2024-12-01,0,-,-,-,0,0,-,-,-,-
Normal,MX,Merida,2024-11-25 / 2024-12-01,1411,15.05%,0.028600000000000000,0.214700000000000000,1117804,74829,0.95%,2.27%,232.0693000000000,182.2492000000000
Normal,MX,Leon,2024-11-25 / 2024-12-01,2005,19.70%,0.027000000000000000,0.264900000000000000,1375492,91183,1.09%,1.77%,242.2991000000000,178.1195000000000
Normal,MX,Valles City,2024-11-25 / 2024-12-01,-,-,-,-,-,-,-,-,-,-
Normal,MX,Villahermosa,2024-11-25 / 2024-12-01,1655,18.27%,0.027400000000000000,0.240600000000000000,1256464,82259,0.96%,1.66%,259.6265000000000,197.1549000000000
Normal,MX,La Paz,2024-11-25 / 2024-12-01,1191,10.95%,0.028900000000000000,0.173200000000000000,688514,52436,1.27%,1.13%,281.2197000000000,232.5067000000000
Normal,MX,Culiacan,2024-11-25 / 2024-12-01,2035,17.32%,0.028800000000000000,0.242200000000000000,1647535,107252,0.98%,1.65%,268.6035000000000,203.5450000000000
Normal,MX,Cuernavaca,2024-11-25 / 2024-12-01,1996,18.78%,0.033500000000000000,0.249200000000000000,1332064,92184,1.10%,1.31%,239.4932000000000,179.8032000000000
Normal,MX,Nuevo Laredo,2024-11-25 / 2024-12-01,659,12.65%,0.010500000000000000,0.178500000000000000,405642,31233,1.19%,1.04%,307.6161000000000,252.7129000000000
Normal,MX,Torreon,2024-11-25 / 2024-12-01,1930,13.16%,0.021300000000000000,0.192800000000000000,1275663,87650,1.13%,1.68%,232.6690000000000,187.8177000000000
Normal,MX,Mexico City,2024-11-25 / 2024-12-01,24280,15.94%,0.061500000000000000,0.264800000000000000,18362864,1216039,0.99%,1.52%,253.2176000000000,186.1582000000000
Normal,MX,Xalapa,2024-11-25 / 2024-12-01,362,16.72%,0.038300000000000000,0.245400000000000000,339019,20987,0.80%,1.34%,249.2047000000000,188.0584000000000
Normal,MX,Aguascalientes,2024-11-25 / 2024-12-01,1789,14.75%,0.017800000000000000,0.196400000000000000,1048112,73494,1.24%,1.25%,227.6028000000000,182.8943000000000
Normal,MX,Los Cabos,2024-11-25 / 2024-12-01,783,12.84%,0.022500000000000000,0.204200000000000000,404903,31138,1.45%,1.42%,321.1752000000000,255.5754000000000
Normal,MX,San Juan del Río,2024-11-25 / 2024-12-01,489,19.36%,0.038400000000000000,0.274700000000000000,256867,18756,1.42%,2.07%,268.1226000000000,194.4654000000000
Normal,MX,Monclova,2024-11-25 / 2024-12-01,0,-,-,-,17,0,0.00%,-,-,-
Normal,MX,Puebla,2024-11-25 / 2024-12-01,3557,23.19%,0.047900000000000000,0.307000000000000000,2534568,169133,1.05%,1.47%,243.0366000000000,168.4357000000000
Normal,MX,Matamoros,2024-11-25 / 2024-12-01,1494,11.04%,0.024500000000000000,0.171700000000000000,1004047,70208,1.10%,1.00%,248.2931000000000,205.6706000000000
Normal,MX,Navojoa,2024-11-25 / 2024-12-01,279,11.25%,0.042600000000000000,0.204500000000000000,188590,14323,1.12%,1.23%,237.9656000000000,189.3022000000000
Normal,MX,Carmen,2024-11-25 / 2024-12-01,209,18.26%,0.039300000000000000,0.265600000000000000,137116,10080,1.12%,1.66%,251.4092000000000,184.6285000000000
Normal,MX,Tulancingo,2024-11-25 / 2024-12-01,-,-,-,-,-,-,-,-,-,-
Normal,MX,Chetumal,2024-11-25 / 2024-12-01,227,9.85%,0.028700000000000000,0.170200000000000000,149936,11124,1.12%,2.29%,223.1255000000000,185.1507000000000
Normal,MX,Coatzacoalcos,2024-11-25 / 2024-12-01,264,21.06%,0.047500000000000000,0.295300000000000000,256507,17051,0.75%,0.90%,288.3430000000000,203.2027000000000
Normal,MX,Apizaco,2024-11-25 / 2024-12-01,-,-,-,-,-,-,-,-,-,-
Normal,MX,Queretaro,2024-11-25 / 2024-12-01,2370,17.03%,0.021700000000000000,0.234600000000000000,1454325,97895,1.21%,1.27%,243.4761000000000,186.3568000000000
Normal,MX,Jaurez CHIH,2024-11-25 / 2024-12-01,4080,13.81%,0.023300000000000000,0.210600000000000000,2658124,186422,1.15%,1.30%,298.9500000000000,235.9863000000000
Normal,MX,Tehuacan,2024-11-25 / 2024-12-01,271,17.29%,0.027800000000000000,0.234200000000000000,225702,14084,0.89%,1.89%,239.5607000000000,183.4613000000000
Normal,MX,Oaxaca,2024-11-25 / 2024-12-01,1702,22.72%,0.024900000000000000,0.272300000000000000,1007517,72032,1.22%,1.36%,271.3522000000000,197.4499000000000
